"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MAX"
"144","4175","4175","4175","0.8702276349067688","0.8702276349067688","0.8702276349067688","2447","2447","2447","0.8435842394828796","0.8435842394828796","0.8435842394828796"
"145","4204","4204","4204","0.873976469039917","0.873976469039917","0.873976469039917","2464","2464","2464","0.9212671518325806","0.9212671518325806","0.9212671518325806"
"146","4233","4233","4233","0.921299397945404","0.921299397945404","0.921299397945404","2481","2481","2481","0.9440481662750244","0.9440481662750244","0.9440481662750244"
"147","4262","4262","4262","0.9031957387924194","0.9031957387924194","0.9031957387924194","2498","2498","2498","0.9214372634887695","0.9214372634887695","0.9214372634887695"
"148","4291","4291","4291","0.8278154134750366","0.8278154134750366","0.8278154134750366","2515","2515","2515","0.8572937250137329","0.8572937250137329","0.8572937250137329"
"149","4320","4320","4320","0.7540848255157471","0.7540848255157471","0.7540848255157471","2532","2532","2532","0.9065353274345398","0.9065353274345398","0.9065353274345398"
"150","4349","4349","4349","0.8474007844924927","0.8474007844924927","0.8474007844924927","2549","2549","2549","0.8329741954803467","0.8329741954803467","0.8329741954803467"
"151","4378","4378","4378","0.8143147230148315","0.8143147230148315","0.8143147230148315","2566","2566","2566","0.900486409664154","0.900486409664154","0.900486409664154"
"152","4407","4407","4407","0.811089038848877","0.811089038848877","0.811089038848877","","","","","",""
"153","4436","4436","4436","0.8301082849502563","0.8301082849502563","0.8301082849502563","","","","","",""
"154","4465","4465","4465","0.9144087433815002","0.9144087433815002","0.9144087433815002","","","","","",""
"155","4494","4494","4494","0.8302016854286194","0.8302016854286194","0.8302016854286194","","","","","",""
"156","4523","4523","4523","0.8689210414886475","0.8689210414886475","0.8689210414886475","","","","","",""
"157","4552","4552","4552","0.8824746012687683","0.8824746012687683","0.8824746012687683","","","","","",""
"158","4581","4581","4581","0.8536834716796875","0.8536834716796875","0.8536834716796875","","","","","",""
"159","4610","4610","4610","0.8882163763046265","0.8882163763046265","0.8882163763046265","","","","","",""
